Date,Session,Observer,tblEvents.Area,Weather,Comments,Time,Cows,Cows edited by LH,Calves,Prime_Bulls,Raghorns,Spikes,Unk_Male,unknown elk_LH,Total adult males_LH,Total_Elk,Total_elk edited by LH,Harem,White_Bull,Red_Bull,White_Cow,Red_Cow,Behavior,Notes,Location_Code,Location_Name,tluLocations.Area,X_Coord,Y_Coord,Ranch,Pasture
08/04/2015,a,Bernot,D Ranch,,,7:05,10,Yes,,,,,,32,0,42,,1,,,,,t,,tt,drakes swamp,D Ranch,502797.7198,4209404.666,Non-permit,Non-permit
01/07/2016,a,Bernot,D Ranch,,,7:00,10,Yes,,,,,,32,0,42,,1,,,,,f,"hazed to WD 720, DBt, OH 740",nn,C ranch center ridge top trough,D Ranch,502222.5185,4210159.291,C (Spaletta),Dam Field
12/20/2010,a,Bernot,D Ranch,,,,10,Yes,,,,,,33,0,43,,1,,,,,t,traveling towards nn,ss,C ranch ridge 2 west,D Ranch,501883.5247,4209816.112,C (Spaletta),Middle Field
09/30/2011,a,Bernot,D Ranch,,,8:00,10,Yes,,,,,,33,0,43,,1,,,,,,,v,outer horick manure pond,D Ranch,503365.3408,4209429.69,Non-permit,Non-permit
10/03/2011,a,Bernot,D Ranch,,,,10,Yes,,,,,,33,0,43,,1,,,,,,,w,outer horick center,D Ranch,503672.5539,4209436.752,Non-permit,Non-permit
10/06/2011,a,Bernot,D Ranch,,,8:00,10,Yes,,,,,,33,0,43,,1,,,,,,,t,horseshoe pond pasture,D Ranch,503794.3798,4209715.716,Non-permit,Non-permit
10/15/2011,a,Bernot,D Ranch,,,6:30,10,Yes,,,,,,33,0,43,,1,,,,,,,nn,C ranch center ridge top trough,D Ranch,502222.5185,4210159.291,C (Spaletta),Dam Field
02/06/2012,a,Bernot,D Ranch,,,10:30,10,Yes,,,,,,33,0,43,,1,,,,,,,jj,west D natural area low,D Ranch,503180.9083,4209221.827,Non-permit,Non-permit
08/29/2014,a,Bernot,D Ranch,f,,6:55,10,Yes,,,,,,33,0,43,,1,,,,0,t,crossed road west to east,v,outer horick manure pond,D Ranch,503365.3408,4209429.69,Non-permit,Non-permit
12/13/2010,a,Bernot,D Ranch,,,,10,Yes,,,,,,34,0,44,,1,,,,,,,gg,west D feed gate,D Ranch,502653.5847,4210414.583,D (Spaletta),West
09/16/2011,a,Bernot,D Ranch,,,,10,Yes,,,,,,34,0,44,,1,,,,,"s,t","rutting behavior, crossed DB road from east to west",tt,drakes swamp,D Ranch,502797.7198,4209404.666,Non-permit,Non-permit
09/24/2011,a,Bernot,D Ranch,,,,10,Yes,,,,,,34,0,44,,1,,,,,,fence damage reported,hh,west D pole crossing,D Ranch,502900.506,4210176.032,D (Spaletta),West
07/29/2011,a,Bernot,D Ranch,,,,10,Yes,,,,,,35,0,45,,1,,,,,s,rutting behaviors,u,near outer horick,D Ranch,503483.6355,4209592.124,Non-permit,Non-permit
10/24/2011,a,Bernot,D Ranch,,,10:30,10,Yes,,,,,,35,0,45,,1,,,,,,,t,horseshoe pond pasture,D Ranch,503794.3798,4209715.716,Non-permit,Non-permit
11/07/2011,a,Bernot,D Ranch,,,,10,Yes,,,,,,35,0,45,,1,,,,,t,traveling to hh,ll,C center ridge near swamp just inside fence,D Ranch,502649.3995,4209623.597,C (Spaletta),Dam Field
02/25/2012,a,Bernot,D Ranch,,,9:00,10,Yes,,,,,,35,0,45,,1,,,,,,,w,outer horick center,D Ranch,503672.5539,4209436.752,Non-permit,Non-permit
01/03/2013,a,Bernot,D Ranch,,,11:07,10,Yes,,,,,,35,0,45,,1,,,1,1,r,,v,outer horick manure pond,D Ranch,503365.3408,4209429.69,Non-permit,Non-permit
11/28/2010,a,Bernot,D Ranch,,,,10,Yes,,,,,,36,0,46,,1,,,,,t,elk have been crossing DB road,uu,C ranch center ridge mid,D Ranch,502401.4737,4209898.844,C (Spaletta),Dam Field
01/11/2012,a,Bernot,D Ranch,,,9:00,10,Yes,,,,,,36,0,46,,1,,,,,,,f,east D between upper pond and road north,D Ranch,502649.4592,4210624.19,D (Nunes),Pasture B
01/12/2012,a,Bernot,D Ranch,,,7:00,10,Yes,,,,,,36,0,46,,1,,,,,,,q,east D plateau outer slope high,D Ranch,503421.1335,4209897.395,D (Nunes),Pasture B
