Total.Residence.hrs,Num.animals,Revisits,coordIdx,Avg.Residence.hrs,x,y
225.38,3,72,1459,75.1,502547.162881958,4210921.45229642
211.79,3,77,1460,70.6,502644.574971915,4210866.00681599
235.21,3,73,1461,78.4,502601.582654768,4210860.44534378
182.51,3,63,1462,60.8,502681.432516727,4210849.37590518
207.03,3,69,1463,69,502572.624634721,4210869.31239612
151.28,3,64,1464,50.4,502680.544511348,4210881.55197027
183.38,3,65,1465,61.1,502662.997386878,4210877.1081048
264.91,2,54,1466,132.5,502535.741879031,4210968.0489842
67.76,2,30,1467,33.9,502698.196203633,4210569.78005271
170.16,3,49,1468,56.7,502995.73411278,4210356.8543352
160.87,3,47,1469,53.6,502991.347500783,4210354.63366826
141.81,3,51,1470,47.3,502465.555038058,4210945.83687411
276.95,3,57,1471,92.3,502490.121153238,4210951.3919847
62.43,2,24,1472,31.2,502583.989399228,4211001.35001746
63.84,3,27,1473,21.3,502556.785336911,4211014.65580247
270.73,2,50,1474,135.4,502510.297400689,4210965.82205476
345.3,3,71,1475,115.1,502521.713459371,4210934.75874501
166.61,3,44,1476,55.5,501971.613530559,4210751.53487891
229.82,3,56,1477,76.6,502000.566143777,4210763.74675003
137.08,3,40,1478,45.7,502032.16094051,4210736.01632729
55.77,3,21,1479,18.6,502113.77102146,4210706.07977565
10.09,3,11,1480,3.4,502338.313937404,4210997.94730281
21.32,2,9,1481,10.7,503114.772561597,4211141.33620261
27.57,2,10,1482,13.8,503102.490217182,4211138.00293141
207.22,3,41,1483,69.1,502477.830179546,4210974.68836548
190.12,3,60,1484,63.4,502477.840964596,4210939.1834189
245.41,3,66,1485,81.8,502519.96444041,4210915.89620074
77.81,2,32,1486,38.9,502683.281900742,4210562.00843039
87.22,2,34,1487,43.6,502652.555542782,4210608.59860305
175.84,3,65,1488,58.6,502670.893159312,4210880.43927493
102.43,3,32,1489,34.1,502778.86074306,4210751.76992091
110.2,3,35,1490,36.7,502758.684815459,4210736.22966216
134.39,3,43,1491,44.8,502693.738183006,4210783.91772083
280.22,3,76,1492,93.4,502511.189849224,4210917.00302441
274.03,3,73,1493,91.3,502513.822123752,4210917.00383517
345.88,3,74,1494,115.3,502502.409814466,4210935.86233
296.05,3,59,1495,98.7,502532.235645943,4210956.95259801
78.47,3,39,1496,26.2,502925.522969847,4210391.22424813
15.78,2,5,1497,7.9,503477.426155507,4210467.99831119
134.04,3,48,1498,44.7,502966.757737681,4210410.10112773
308.27,3,58,1499,102.8,502519.953814858,4210950.29161651
172.85,3,46,1500,57.6,502027.768203146,4210758.20581982
198.7,3,56,1501,66.2,502008.466666731,4210749.32481052
187.73,3,50,1502,62.6,502002.32892412,4210731.57083341
146.12,3,43,1503,48.7,502016.349117328,4210808.1318097
14.05,2,5,1504,7,502705.861853772,4211267.67673747
36.39,2,15,1505,18.2,503031.413717572,4211156.83821759
35.19,2,16,1506,17.6,503034.045914801,4211156.83919627
80.51,3,33,1507,26.8,502650.744024333,4210782.79410757
110.14,2,37,1508,55.1,502767.540182541,4210497.68389724
104.42,3,43,1509,34.8,502785.099808446,4210467.73259228
93.65,3,37,1510,31.2,502827.223519595,4210453.32320565
134.94,3,43,1511,45,503108.968167019,4210255.92959112
13.65,2,9,1512,6.8,503121.077379018,4210715.27920286
75.22,3,37,1513,25.1,502917.622066059,4210401.20717787
237.45,3,72,1514,79.1,502625.262934683,4210892.62928763
37.86,3,15,1515,12.6,502189.327678069,4210347.72186183
57.46,3,25,1516,19.2,502213.004753864,4210403.20468291
126.81,3,40,1517,42.3,502068.156971236,4210653.92021315
120.15,3,40,1518,40.1,502058.492668271,4210702.73705215
11.65,2,6,1519,5.8,502886.687240826,4211031.40882793
40.96,2,16,1520,20.5,503087.585738167,4211108.03996484
4.38,1,4,1521,4.4,503158.639591436,4211149.11978259
27.07,3,14,1522,9,502569.057605835,4211051.27414254
220.84,3,70,1523,73.6,502562.092687139,4210878.18531782
83.46,2,31,1524,41.7,502677.131285283,4210587.52557796
81.84,2,31,1525,40.9,502669.235231737,4210584.19440344
238.58,3,73,1526,79.5,502585.78221559,4210881.52138139
33.42,1,6,1527,33.4,502894.633956602,4210890.50136725
39.07,2,8,1528,19.5,502898.151945522,4210867.20249479
40.29,2,9,1529,20.1,502898.155099058,4210858.32625933
125.75,3,37,1530,41.9,502767.445708012,4210776.17568697
158.5,3,61,1531,52.8,502652.485915137,4210822.73773359
245.55,3,73,1532,81.9,502623.508436581,4210891.51919358
248.91,3,75,1533,83,502582.271096017,4210885.95838744
238.58,3,73,1534,79.5,502584.026655326,4210883.73988423
20.22,2,9,1535,10.1,502898.044721934,4211168.99457228
0.74,1,2,1536,0.7,503915.112226842,4210828.7936506
0.73,1,1,1537,0.7,504162.616675361,4210695.77264109
47.47,2,16,1538,23.7,503973.442200752,4209967.82739542
83.9,3,35,1539,28,502819.329314343,4210444.44424298
156.46,3,44,1540,52.2,502988.715044706,4210354.63270352
172.62,3,52,1541,57.5,502985.199013787,4210371.27434724
165.21,3,46,1542,55.1,502975.544266613,4210377.92799286
11.11,2,7,1543,5.6,503087.723910116,4210743.00474463
23.15,2,10,1544,11.6,503148.230264815,4210839.55693587
31.47,3,8,1545,10.5,503157.896633624,4210801.83666799
148.96,3,41,1546,49.7,502735.85823995,4210775.05550281
104.91,3,41,1547,35,502772.814806813,4210468.83793661
75.78,3,30,1548,25.3,502821.087718631,4210434.45909126
83.4,3,29,1549,27.8,502840.385640603,4210453.32777743
168.79,3,54,1550,56.3,502961.501721763,4210385.68958483
7.96,1,4,1551,8,503021.929614957,4210705.25610868
9.08,1,3,1552,9.1,503053.487828315,4210785.15397612
148.61,3,58,1553,49.5,502823.445940607,4211226.6639754
42.2,2,10,1554,21.1,502671.725525544,4211018.02122927
110.01,3,34,1555,36.7,502051.487036072,4210647.25882941
120.15,3,38,1556,40.1,502041.83198919,4210659.46122752
52.85,3,22,1557,17.6,502025.177468063,4210590.66627362
102.78,3,37,1558,34.3,503057.190083735,4210271.44342552
36.61,3,9,1559,12.2,503267.639845043,4210643.2171874
38.02,3,10,1560,12.7,503286.065939238,4210644.33411794
39.03,3,10,1561,13,503281.681346091,4210637.67517751
161.69,3,47,1562,53.9,503013.285864099,4210351.31315515
63.91,2,19,1563,32,503935.726733734,4209930.08515913
